Name	C0	C1
ERP44	0.6010660309078295	0.46001545480672834
FAS	0.5812792111290475	0.03870998877802965
ICAM1	0.7640972861297305	0.0020665632012766017
UBE2G2	0.43375147071750825	0.5767269501614452
KDELR2	0.8988415550651189	0.8733217760552554
KAT7	0.35053118885132606	0.6464282680009715
SEL1L	0.6848980396848081	0.4903544123767341
ELOF1	0.7525236415410433	0.8208046186314306
AP2M1	0.8963055756940547	0.9182122748137898
NDUFV1	0.7887913748241411	0.9143571017626524
PRKCSH	0.889668405523971	0.9490880153930772
SMG7	0.4748779936572767	0.7767193957624736
PSME1	0.8912470675292049	0.8720855408213549
OTUD5	0.6118339071377092	0.6321042362452647
LENG8	0.657957600510049	0.7855114208641313
RBM15	0.19406001179419835	0.42367582637105616
DPF2	0.5733501175422338	0.7287474273362519
RCE1	0.5197155776888501	0.641917261134011
FIBP	0.774774558878777	0.8206925321130424
NDUFS1	0.6166423147689621	0.7684018540515999
CYB5R4	0.34390109638111793	0.3981963303265113
ANKS3	0.220142636883169	0.2725620700302653
ATXN7L3	0.5854195597681838	0.7264541468676584
CARD10	0.5406682346140542	0.17556882058331608
PSME2	0.8924127358389572	0.8572735354184203
PKNOX1	0.1843080352242006	0.3032640375184987
PTEN	0.3329396202749885	0.3702598401985583
IFNAR1	0.4842291700584498	0.4036088907850163
SURF1	0.4972546156327683	0.6370954406561132
LSM12	0.5830009160419557	0.6830221729321764
TTL	0.4527471045412165	0.5369161873152971
SCAF8	0.34834729169271195	0.5551911406115533
DDX39B	0.18629594744095113	0.3419996048542946
SRSF2	0.831403803195493	0.9637766211507393
NDUFA6	0.7474242397534617	0.8555178204573352
EPHX4	0.12361271858661893	0.13779486462143725
DUS1L	0.6421357953996902	0.8815134181293104
ABHD16A	0.4761587195304664	0.5682346843284447
NXF1	0.46323724419637197	0.6362550974308901
FBXW7	0.16006137262791753	0.3554034808289865
USP4	0.4321185006317477	0.33210734401975994
FAM117A	0.10676830598824294	0.3042676924387019
TAF13	0.7592671886987897	0.5525432101951255
CYC1	0.8457530144591714	0.9655051184769171
CDCA3	0.5857478638382333	0.6075085979192584
FXR2	0.5853754963809946	0.6814350737515664
THOC5	0.3643953363128888	0.45484082940860704
S1PR3	0.22852823812432058	0.05971938586736156
SIGLEC15	0.13840688146499655	0.038461531404117025
COCH	1.0195373642836461e-10	0.5905474004826335
QRSL1	0.21858823117473486	0.36838600526548393
EPHA4	0.1588927416075696	0.20092302379708918
MRPS26	0.6398858641546571	0.9037362724858412
IL12RB2	0.04012251143420371	0.12821207988456595
ATP5D	0.715042998233125	0.8294439601283896
CUL5	0.35312353669363467	0.4582703010343538
SUMO1	0.7995715834915833	0.8703360282322457
AHCTF1	0.3957291814846804	0.6539391933519034
GPCPD1	0.2642352135488561	0.3015555607846654
GAPDH	0.9270098456139317	0.9960282462810456
SLC38A8	1.0415668584200677e-09	0.05987426112769167
DYRK1A	0.2950554625020791	0.5115121060268664
HNRNPA3	0.8549363257977494	0.9761029802409633
SLC29A3	0.1406609881907092	0.3103588182394466
SMG6	0.2633937650892309	0.26077677869394744
SMG8	0.38799644949732354	0.49780738719616047
SEH1L	0.4889304347785602	0.7452058885490641
EIF3H	0.7493735988121772	0.8577271332671194
EIF3B	0.85922371942259	0.9414108859682984
QKI	0.44513556064761794	0.17604803211527503
KAT6A	0.2030956939064547	0.5576644200269878
MEX3D	0.35390033822311895	0.5020093861788861
TCP11	0.05114603122264455	0.01880099240723221
SPRY2	0.5440118233430051	0.29397378626697357
RUNX2	0.3019083534190989	0.04125883590389974
SPRED1	0.4101621514773588	0.2059677314341035
IGFLR1	0.11177232508210833	0.2259492901885702
KCNIP4	0.06326813156353187	0.12550386236460667
PGP	0.3352906783106813	0.5628106304448549
OFD1	0.2214422314601003	0.42872274612230865
CDC14A	0.09807413944434128	0.17945097567794627
PPP6R1	0.7062617705749045	0.8064168479469666
CPNE5	0.051008201846645375	0.09158616152652758
ILDR1	0.02596678818442722	0.18938723392417192
CCNF	0.24301216773745485	0.6600816575926375
MAD2L1	0.6822021565512877	0.9097521859949782
SNRNP70	0.7798490863930465	0.9028349860348248
AGPAT1	0.4517183341993584	0.4473555648597505
TRIM39	0.12554765538836526	0.176002070451594
SCN5A	0.04314132101214285	0.11162977839543468
PHGDH	0.45839868556491914	0.7540418064652896
CNOT3	0.3768747996467625	0.6287154891511064
METTL4	0.20718527117666102	0.3339724270063689
VMAC	0.12284713798616102	0.22763160198198237
PANK4	0.21932221433531163	0.3708048128788525
SERBP1	0.794423621730607	0.9051737579719134
NKX2-8	0.05721808465268828	0.0745182119189385
EHMT1	0.29200109511923805	0.6079529793391252
ST6GAL1	0.0819333731662816	0.3771018968316738
GRIK2	0.0935408073396221	0.1129214134031248
ANAPC2	0.36694674059269117	0.5148383522559392
FNDC3B	0.8458693479648862	0.21938347099644315
ZFYVE21	0.6596434235397803	0.5308449335448518
FBXL15	0.2733092826379763	0.5085805181503106
GPRIN3	8.792767949026921e-22	0.17793893603926988
AMD1	0.7101149248456499	0.7892184812687723
FASTKD2	0.5211570611600367	0.5992019474685659
CRISP1	0.009783586430983118	0.015530963625468635
NXT2	0.2646804254292381	0.30883804153223865
RPUSD1	0.4096451898421275	0.6002271641018135
MSRB1	0.4665442562004859	0.49107922879017485
SUV39H1	0.2638945883512027	0.44942167784556997
SYNGR3	0.08060389268678807	0.21300942015089702
RGS11	0.04728431946251451	0.16060629400878207
PITPNM2	0.2188157114579483	0.19590422431313295
TADA3	0.6757296860073757	0.6460586514784844
