row_id	Combined.Q.value	Q.value.Significant.Count	Combined.P.value	P.value.Significant.Count	P.value.Significant..Up..Count	P.value.Significant..Down..Count	Mean.Statistic	RENCA.CTL.LAWSON..Gene..Statistic.Value	EMT6.CTL.LAWSON..Gene..Statistic.Value	B16.CTL.LAWSON..Gene..Statistic.Value	X4T1.CTL.LAWSON..Gene..Statistic.Value	CT26.CTL.LAWSON..Gene..Statistic.Value	MC38.CTL.LAWSON..Gene..Statistic.Value	B16.CTL.KEARNEY..Gene..Statistic.Value	MC38.CTL.KEARNEY..Gene..Statistic.Value	B16.CTL.PRFKO.KEARNEY..Gene..Statistic.Value	MDAMB231.CART.HER2.KEARNEY..Gene..Statistic.Value	MC38.NK.KEARNEY..Gene..Statistic.Value	MC38.CTL.PD1.KEARNEY..Gene..Statistic.Value	MC38.CTL.IgG.KEARNEY..Gene..Statistic.Value	MART1.CTL.LIBA.VRED..Gene..Statistic.Value	MART1.CTL.LIBB.VRED..Gene..Statistic.Value	K562.NK1_1.PECH..Gene..Statistic.Value	K562.NK2_5.PECH..Gene..Statistic.Value	RENCA.CTL.LAWSON..Gene...log.P.value.	EMT6.CTL.LAWSON..Gene...log.P.value.	B16.CTL.LAWSON..Gene...log.P.value.	X4T1.CTL.LAWSON..Gene...log.P.value.	CT26.CTL.LAWSON..Gene...log.P.value.	MC38.CTL.LAWSON..Gene...log.P.value.	B16.CTL.KEARNEY..Gene...log.P.value.	MC38.CTL.KEARNEY..Gene...log.P.value.	B16.CTL.PRFKO.KEARNEY..Gene...log.P.value.	MDAMB231.CART.HER2.KEARNEY..Gene...log.P.value.	MC38.NK.KEARNEY..Gene...log.P.value.	MC38.CTL.PD1.KEARNEY..Gene...log.P.value.	MC38.CTL.IgG.KEARNEY..Gene...log.P.value.	MART1.CTL.LIBA.VRED..Gene...log.P.value.	MART1.CTL.LIBB.VRED..Gene...log.P.value.	K562.NK1_1.PECH..Gene...log.P.value.	K562.NK2_5.PECH..Gene...log.P.value.
TBK1	1	3	1.47359869056865e-15	9	0	9	-1.74453573481788	-8.94	-6.46	-2.54	0.12	-6.7	0.3	0.794645058575626	-2.56799713995896	-1.67208277871207	1.82930453281826	-1.17005210752954	-0.467279389996098	1.09810189036384	-2.5199	-1.6138	1.18894833039321	-0.336995887858177	18.4334569820535	9.99882668406708	1.92651797996058	0.0316475631759867	10.7055641677337	0.475202648505537	0.0738858229874798	1.6467669060411	1.30803598610616	0.3444125050064	0.483557925667491	0.05288112198333	0.307787201731347	2.86407266499453	1.9303319030884	0.402712889535465	1.70410837061929
AGO2	0.648424015638067	2	2.02353515570255e-15	10	1	9	-1.49137824424869	-3.35	-8.04	-2.57	-2.8	-0.56	2.85	1.18504412790781	-1.38696642850138	-1.67885657218208	1.76557009995097	1.31936235719292	-2.07673526377728	-2.30694296316193	-2.1027	-0.66896	-2.84329301842289	-2.08895249123393	3.04283757076799	15.0281897139573	1.93669621273672	1.6165959401715	0.247625233399658	3.06390798443658	0.250083972520469	0.807001179237284	1.30803598610616	0.3444125050064	0.270422200189767	1.07807935470887	1.3491910182171	1.79086046394347	0.576344607426622	1.9554669957279	3.51288309185866
ATG10	0.053821437960556	3	1.50098595585111e-25	8	0	8	-2.77086869020886	-14.79	-11.64	-3.11	-1	-3.74	-0.49	-1.04479008151192	-2.44219646031119	-1.93748569778962	-0.795779859633276	-0.935287801726196	-1.80270854177577	-3.37282212644227	1.1244	0.2946	-0.333257390754511	-1.08943977360593	48.8839581893412	30.6213449398284	2.57766535121453	0.508561758368239	3.7418439583004	0.696414016848078	0.37703380686439	1.49131602546054	1.53568719121939	0.178175179696339	0.483557925667491	0.941504599441588	2.72155427447553	1.03499125704225	0.0608752858951891	0.0140589282401503	2.23148456225105
RNF31	0.596519379878741	2	6.93050554110217e-13	8	0	8	-1.91507192340186	-2.97	-3.71	-2.73	-0.68	-8.2	0.45	-0.798948973727131	-1.00632345767092	-2.68421655202233	-0.445968500032167	-2.65062075812521	-0.751087496679482	-1.76502240671915	-3.2406	-1.9971	1.85483354620979	-1.231168099065	2.48727589845934	3.67651769733936	2.13530865955705	0.341672230042902	15.5933206003047	0.513277033337464	0.315652899260406	0.0768346086336623	2.49931614282904	0.195043007111178	1.93663249115218	0.0742363458496164	0.902241334672844	2.57562479119208	1.27338687955507	0.75635210907357	2.35967610554021
UBE2N	0.514373853629596	3	1.63864339192429e-13	8	0	8	-2.12256254565683	-2.81	-2.43	-4.9	NA	-8.54	NA	-2.20275530386075	-0.248251269835574	-3.27642561910519	-1.80860751601775	-0.890718886514953	-1.59265325272898	-1.83625467361324	-0.13588	-0.54866	-2.41318478327854	-2.45017197121113	2.26938164059125	1.6981175864211	5.61386576156747	NA	16.8032701266214	NA	1.23474907660804	0.0768346086336623	3.19017458056482	0.949775802613364	0.483557925667491	0.748774922071822	0.962587969421633	0.174593357757726	1.50012055104357	1.42253159160809	4.16134400738355
CHMP3	0.982738665283434	1	2.2489380938594e-10	9	1	8	-1.34644010192046	-2.19	-3.07	-2.95	-1.04	-2.41	1.33	-2.34745019666375	-0.249673310208192	-1.19001626320946	0.997462638745321	-2.09225176584397	-2.13791059720231	0.677103954585851	-0.96579	0.41471	-2.96108230895892	-2.70458388389246	1.51403019878608	2.60488873028408	2.38206178610423	0.553152079360067	1.76865103698286	1.46330288631205	1.49073583349347	0.0768346086336623	0.922122724663788	0.3444125050064	1.08306763596347	1.13720872942753	0.145606234452116	2.7246425689124	0.310637856478803	2.10012559969968	4.68177362750609
TRAF2	1.90534334655535e-21	4	1.20315011675296e-57	7	0	7	-2.25197366881717	-11.23	-6.4	-0.14	-2.18	-5.65	-1.16	0.142709010767839	2.25886152432415	0.171844220080247	0.0936338743162688	-1.52448340198218	-2.78757597881618	-1.37446941203167	-1.3037	-5.1447	-0.70997441840065	-1.34569778814967	28.5829281936772	9.84614170403566	0.0316530290333172	1.14708107170297	7.83231624510546	1.03806517582471	0.0738858229874798	0.315775836293648	0.0892725763237164	0.0718582547769728	0.70248344162291	1.5934204914264	0.359136056314335	2.46737299877111	150	0.0821596196793116	2.46258957393085
SCAF4	1	3	3.08837131439995e-10	7	0	7	-1.7594913629416	-8.24	-4.74	-1.02	-2.66	-3.68	0.06	-2.34691446108586	0.0752698620998299	-2.10522186300467	-0.129224513328026	0.244117266871046	-1.57398896762455	-1.80782333972676	0.05313	-0.16689	-3.21394664284782	1.34013948863953	15.7725620260482	5.729077200963	0.529034972445308	1.58646244962235	3.62740907932933	0.422084350919111	1.49073583349347	0.315775836293648	1.70017859696132	0.3444125050064	0.0133981022445509	0.728578342379747	0.935774030249088	0.0154276843783678	0.220237613967834	2.39592721004645	1.24549969196208
STUB1	1	3	9.48451024823299e-12	7	0	7	-1.75484870584735	-6.73	0.25	-1.88	-2.67	-7.75	-0.03	0.227133417014504	-1.0991560620925	-1.08036427023588	-3.18857482804	1.32898778456214	-0.78840473851513	1.12144145193586	-0.2716	-1.5835	-3.02969600729933	-2.65869474673461	10.8030870793642	0.0284421618322418	1.24038624581602	1.56285551461234	14.0054646582567	0.526418164894158	0.0738858229874798	0.54793062625703	0.848699691128851	2.55722408372011	0.270422200189767	0.099376467954892	0.307787201731347	0.251447628712442	1.64460595537683	2.1783346889297	4.5893738435263
BCL2L1	0.0521326218438063	3	1.47447660582721e-17	7	0	7	-2.12790034965467	-5.26	-11.3	1.59	-0.96	-9.4	NA	0.737135422092663	-1.9328555088617	0.768045758720726	0.409244827650716	-2.51408992483685	-2.14553620379941	-0.873849902668241	-0.14079	-0.59421	-2.68465826332113	-1.87274214910624	6.82418151864085	28.8389032951117	0.914779960808448	0.497658897457026	20.1840447177161	NA	0.0738858229874798	0.807001179237284	0.0892725763237164	0.3444125050064	1.46374536165189	1.26776531738853	0.116760582969897	0.1990150061958	1.73097766527077	1.77798911529585	3.18702203565451
