	P0 Centroid	P1 Centroid	P2 Centroid
RCC10-169	0.9999511364104587	2.7353320091968167	2.188871466718829
RCC10-178	1.3433393342519437	3.1164965358617582	2.3877389273359553
RCC10-191	1.4471714710022603	1.3106631600403102	2.504979660686103
RCC10-194	2.9644202126382404	1.5398091938985246	1.0473150768344945
RCC25-347	2.3717102558349925	1.209124571071784	0.6479038325155694
RCC25-593	4.066109686197325	1.841083284440236	2.1806250991378042
RCC25-3	1.2012737659329669	2.693207545890377	2.0086501614575827
RCC25-933	2.4807239805868337	1.7439695939622366	0.12672391198935043
RCC25-133	0.6093478624765898	2.1155363397780103	2.7342278438588554
RCC25-535	1.9687177280265649	3.0703003585473105	4.096808718510087
RCC25-861	1.3182003975615506	1.3282122665892888	2.260550604167479
RCC25-73	4.435267963958998	4.271241791145392	5.939464109327763
RCC25-495	0.6345612907632413	2.189092192117536	2.4042791773464662
RCC25-363	0.7154550241361886	2.543476871079082	2.5602231631089842
RCC25-134	2.2538171127019946	3.370392441389001	4.464257197662805
RCC25-889	2.873026336051117	1.057180084939927	1.1916053203243198
RCC25-539	1.3721773239826875	1.7747784034169118	2.7099068143237814
RCC25-683	2.28983524278262	3.405235979308663	3.86421076893244
RCC25-520	2.4960529502397972	1.8379902234339958	3.0860770316626605
RCC25-959	1.7140200877305145	3.381181595007812	4.1749571115404995
RCC25-463	3.5634076301859094	3.0396058489385127	4.739913563849509
RCC25-639	2.0637779919462282	0.761419798899061	1.2495747812567715
RCC25-349	3.8608746474907707	2.492289322067069	1.3314427588851405
RCC25-434	2.0918019797605245	1.101547701723989	1.1971485688052388
RCC25-351	0.9005989156766405	2.812653759123202	2.892591420518388
RCC25-556	3.1404058166851843	1.3730196029476862	2.0085918563861904
RCC25-37	1.2999039856283459	1.8385466725953556	1.3336431473006292
RCC25-297	2.323183666367001	1.2569043518704488	0.6117205434101269
RCC25-32	0.4741991850354303	2.477827268138352	2.913325862828052
RCC25-706	2.9177687815631064	1.2597771650971825	1.120720272153536
RCC25-78	1.0042162449892145	1.561565997117835	1.9832203414713019
RCC25-899	1.8833487030177598	2.682046832795101	3.8705248651905917
RCC25-441	3.623118773557274	2.624591224419144	1.1009089736447593
RCC25-788	1.7162592172041287	1.153673581223733	2.052919785288021
RCC25-1041	4.261290066047134	2.086219731307794	3.601436325443965
RCC25-371	1.702571768106313	1.2226567703914326	1.5976596397728346
RCC25-57	1.9319882677496385	1.4451244671497896	0.8231391495274836
RCC25-344	0.8602243869025554	2.0590241306727792	1.7574179077015453
RCC25-887	1.7165425636464917	1.308770353786342	1.0771049871548826
RCC25-112	1.876964330512298	1.1258223125922038	2.421414498535376
RCC25-213	1.7471935439914927	2.235661810718164	3.4965329056527334
RCC25-362	1.4570293453178345	1.0824635257313089	1.7449054104978257
RCC25-1061	1.5979538862786513	1.252428159442018	1.3520016581365393
RCC25-992	2.8331359885777534	1.325961491078428	0.7979983771450118
RCC25-84	1.4399202749456004	1.8522810126033888	3.016758176277835
RCC25-859	1.913848777943841	1.0172885858973972	1.323562189613908
RCC25-995	2.883496223202691	1.911328269585616	0.4391758922857721
RCC25-940	4.172921104230416	2.5932554981883236	1.7401200227787934
RCC25-619	2.210008312581681	2.369916057002395	0.9696614533533776
RCC25-137	4.577171410083722	2.3077056164625405	2.7932587653586753
RCC25-562	3.386731468486203	1.0390096053458355	2.172503287459708
RCC25-737	5.034174399928057	3.4599395826474346	2.613626242737744
RCC25-578	1.7837266389969948	1.7724627163509734	0.8180191657123488
RCC25-116	1.8147856474295605	0.9313369663236547	2.029813967539888
RCC25-882	3.3688171388282164	2.2291626618560207	1.042424602084324
RCC25-1062	1.0547859152860344	1.5068063885843446	2.189249132473453
RCC25-793	1.2315834088660775	3.6222895966670867	3.4350112469483416
RCC25-476	1.8472333401856578	1.6895700164402725	1.5337432664893542
RCC25-987	1.9903840366642251	1.3061403420767674	0.8022541816565129
RCC25-1016	2.5990062781133934	0.2294970871733702	2.00092575084969
RCC25-602	3.584917940626877	1.3578806642106502	2.912560777234135
RCC25-321	0.16528851018592638	2.454800524251616	2.5459007704043897
RCC25-138	1.7779167284565796	1.0222296371124986	1.3323402188865006
RCC25-522	1.2381220163672273	1.4909532978630553	1.4059592664249443
RCC25-791	2.1932544942828387	1.647270961380856	0.4800667309224094
RCC25-490	2.4286569416097286	0.6774807652608194	1.2307165076086275
RCC25-1053	2.246434049971205	1.5983403165510186	2.6190068973515213
RCC25-845	1.553322610173762	1.9026087628981376	2.8908951884623506
RCC25-205	2.1716779362034404	0.6486528090093199	2.2786332218162575
RCC25-184	1.2989257943675314	3.689162053185719	3.7448730179492626
RCC25-350	1.7141223243459691	1.2168552564995507	1.1397958447764436
RCC25-18	0.8173039439284814	2.9425102981693247	2.8845265871295136
RCC25-675	1.6094740447183438	1.6340841811246791	2.9291297106780316
RCC25-147	1.7535513071565485	1.8007828332263536	1.648950049245102
RCC25-45	0.5726345146821699	1.991101829325942	2.347946430578957
RCC25-146	1.360671047901619	1.338529670056993	1.714499765883152
RCC25-299	1.6707327459722967	2.773756638183879	3.7208681832791553
RCC25-110	1.263338298416939	1.537923978324118	1.357238522690182
RCC25-608	1.9748535342949867	1.9348488615912158	0.6987207785897822
RCC25-197	1.2315396517912025	1.1939537651548335	1.7721419000780316
RCC25-559	3.135893561873319	1.2764546436836728	1.2220406219084676
RCC25-117	3.1233897024226067	2.172801457094287	0.55616042975956
RCC25-30	1.4450371310277388	1.1719854578158444	1.9768352091032335
RCC25-66	0.8191518555128404	2.2174957117560563	1.894010181726141
RCC25-202	1.5590414028557504	1.6868175053029937	1.6386642367956026
RCC25-579	5.20596448584426	3.544324291706287	2.721367181777004
RCC25-105	4.096247270047288	3.5209435510323464	1.7505447967183636
RCC25-515	3.013101617470174	2.059686678604815	0.502880953624138
RCC25-329	1.147821299448985	1.611138983064554	1.5208118305766976
RCC25-596	2.5076033959540895	2.5763073454572645	0.8789998915366788
RCC25-75	4.108051862385375	2.492565410873969	1.6632316619358358
RCC25-451	2.6784154261140127	1.543204389626223	0.6775952525836252
RCC25-96	2.359742935787422	1.553794776399122	0.7514042288614656
RCC25-201	2.3594582089071805	3.180112040337147	1.7477806336285817
RCC25-516	0.7951829582738625	1.7554450717428725	2.056989538449523
RCC25-217	2.8597936712346153	2.0173885169494077	0.3629113148487916
RCC25-89	2.444683484197624	1.6710915341713184	0.20083645059271948
RCC25-86	2.2846258189078172	3.9272127423320535	4.6159523100491215
RCC25-39	1.159700991229025	2.0370169323295575	1.487537652862657
RCC25-242	0.5804754156182234	2.5151608145158924	2.268693818890615
RCC25-216	4.57732835140122	2.2209652169378686	3.1040174611814395
RCC25-575	2.2352211615022757	1.7499027582958067	0.3513699811143833
RCC25-426	1.5762798687780095	2.105188999687005	3.268156871221761
RCC25-340	0.8327252452036759	1.6681999220337402	1.8634920557943158
RCC25-9	1.9360889488316744	1.976060090295216	0.7457964367024809
RCC25-228	2.4970132409462225	1.376572391624242	0.48825659473375255
RCC25-279	0.3505113300524622	2.230818789668762	2.2775057258940694
RCC25-398	3.0785675075555803	1.4480626144993443	1.010025625323185
RCC25-20	1.592511144249659	3.1008986390733004	2.3387309214361105
RCC25-565	1.4890870968142242	2.553240051401218	1.6086689392946083
RCC25-166	4.7540428274517605	3.8104064233584842	2.268841147379491
RCC25-108	2.593946579590908	2.1120348197947263	0.5568968481805291
RCC25-257	2.222661159791094	2.407097114102648	0.9263208145618529
RCC25-416	0.6448804514923212	2.06674916878452	2.129984389015615
RCC25-196	3.5511539762378894	1.7529923093692519	1.3262508888020204
RCC25-122	1.0681945009931824	3.4793044879851065	3.436996361704729
RCC25-360	1.7259180549647235	1.526162169654214	0.8739743817768462
RCC25-54	1.6342620969538415	1.5490246844209943	0.9815505152024524
RCC25-491	2.5684938466212435	2.0481467553795074	1.3038633681252807
RCC25-8	3.0049115971506635	2.073997200537602	0.42910486554347055
RCC25-250	2.8251011886770674	1.8719288363220696	0.36689703665706447
RCC25-396	1.565522626613753	2.650843696014437	1.9647750082881217
RCC25-370	2.5861789662368326	1.0686294578125126	0.8534089024482047
RCC25-533	1.0063900136812682	1.8573886047183388	1.8522577079608087
RCC25-555	1.5820427706481763	0.8950997528311754	2.042718337469397
RCC25-189	3.074119469765616	0.7169125755945956	2.0196759025613735
RCC25-253	1.5759414990034368	1.4747014347558114	1.043273884852515
RCC25-477	1.2435261108605469	1.675930857797162	2.4281767144622584
RCC25-79	0.8180255222724875	2.298820687794629	2.280993546732049
RCC25-313	2.748942556014096	3.0162579962812988	1.4743491566499176
RCC25-480	2.5759604624082986	0.7916097090567054	1.25746011605191
RCC25-550	3.334894356522685	0.9247928533072136	2.289794930662573
RCC25-378	1.3408241364082378	2.887851604051048	3.1877789461465813
RCC25-90	2.5131232690153538	2.1302613825563155	0.560844565821147
RCC25-145	3.0963566827440903	1.7100633620756736	0.7234275898957409
RCC25-68	1.3453456495863592	1.5022226235830827	1.314588823358565
RCC25-151	1.0458909289778977	1.7650542060422074	2.4320091335245344
RCC25-346	0.41183298557235837	2.4487416048064365	2.492747922890452
RCC25-496	3.7047361277620565	2.5590465463204426	1.1959230941527366
RCC25-207	2.349253520120683	1.4935796414672633	0.7879839632020285
RCC25-849	2.040230776523183	0.983497240019986	1.4991251472465033
RCC25-907	4.750027811275253	2.718288276984259	2.4754923589483773
RCC25-644	2.753749128241812	1.4280361210968286	0.596792695164055
RCC25-732	1.7880691218887408	1.4606390043076372	1.570831958417964
RCC25-753	1.9574964609277452	3.3380929995004167	2.5597207764484557
RCC25-805	1.8599647182917278	0.9001958493304856	2.189988465641618
RCC25-693	2.608718407546331	0.9268790866991637	1.636383198539245
RCC25-10	3.1528753998289516	2.2060135297247423	0.8130964592712777
RCC25-650	1.9194149561876883	0.7709343825535233	2.039594979954759
RCC25-756	2.913609249725016	2.2068392566136907	1.0802900256633305
RCC25-730	2.2146948297741855	1.4098630432016301	0.6284996287132882
RCC25-909	1.83388358928916	1.2196582630483497	1.0602726716143513
RCC25-671	2.9538357385405147	1.0988901900216934	1.5490163414470228
RCC25-892	2.3253449971327296	0.8158354435088869	1.6332715815329022
RCC25-914	0.9915258715146813	1.6878636432654537	1.6993120311601408
RCC25-799	3.9009358024377914	2.658391162235228	1.7947911664758547
RCC25-648	1.4480604304615499	1.5381688895998689	1.6137916564209336
RCC25-669	4.0585122477315245	2.702049695294483	1.5333653420621043
RCC25-787	2.1100384362604903	1.6237606686989534	0.5161257566454482
RCC25-897	1.5502228138806753	1.3752056279801623	1.5416810194955375
RCC25-1073	1.3146994378936752	1.8641104767418115	1.2907489611560747
RCC25-782	2.1896213402677653	0.9802396721965727	0.9360922097126827
RCC25-898	3.3186174506418906	4.197842248642385	5.447661574419649
RCC25-1065	1.884745409053312	0.8101712646793403	2.3134065400205364
RCC25-866	1.252609956016277	2.0123765080086535	1.4285165503747108
RCC25-919	1.2694225553054965	1.3283340306257914	1.4761859245944706
RCC25-659	2.576831657496938	0.9537616531297037	0.975707900928971
RCC25-975	2.4474092551690947	0.5831579342315083	1.6476008838958072
RCC25-879	0.9844525256171363	2.544245287717127	3.243864122685274
RCC25-872	1.437192942839244	1.7394508727795617	1.8884067926027912
RCC25-932	1.899842594114604	1.2852077297334097	1.7230911932694501
RCC25-649	1.6680239278416555	0.7841524525515658	1.6940081387116825
RCC25-1070	1.7001955014174175	0.7511290254280315	1.588266664169031
RCC25-904	2.3657655678104046	2.0169328087535408	0.7166069706975121
RCC25-794	1.1084793452688382	2.337114492456254	2.0113176975238303
RCC25-1037	1.2551048106232334	1.3264830642644208	1.7093684111807397
RCC25-656	1.2756328551696283	2.3472680243390203	1.6521348813231649
RCC25-1052	1.4842122595977245	1.005879348783032	2.0722801757715006
RCC25-773	1.821602712674352	2.372001418679191	1.1907308397118992
RCC25-927	1.0387024430606098	2.799242481951229	2.9871926548881396
RCC25-690	2.164577381831329	1.2048041594538088	0.910099796351997
RCC25-679	2.146597881035571	1.0651816417658033	0.8490131363972077
RCC25-915	1.7177660066662823	1.4689746010586477	1.2801095740833028
RCC25-1069	3.3243800470831473	2.2041456570550406	0.7551427636707884
RCC_102	4.713993222196503	3.2010475844150132	2.149521635526022
RCC_105	2.0020721604115526	1.8433370515140788	0.7068965516916398
RCC_106	4.150511060063679	2.5907233259041544	1.7113147508033637
RCC_115	2.909549172847406	0.7830067232839998	1.4686444183578673
RCC_117	0.8415217496863935	2.150437581687829	1.8499822781856559
RCC_14	1.610672439095336	1.8351108764453252	1.0089848382205664
RCC_18	2.9285600742081344	1.8202098222202792	0.4958874717351665
RCC_21	2.4237058964326987	3.590619594497025	4.692139041270152
RCC_27	0.9679716476233808	1.5935655441164056	2.0706144450971182
RCC_41	0.7767566321085702	2.5754713777935936	3.0924832045638353
RCC_50	2.4947372701704307	1.5944279920116717	0.3376851895766173
RCC_73	2.1434025659896303	1.0711475751995614	0.8581164009614947
RCC_90	2.068532329174158	0.6164162534920604	1.5037661501668185
RCC_93	1.028227930979873	1.676532482071402	2.5320609638816123
RCC_96	2.190991851404764	0.8380479507770249	1.1527220856741196
RCC_99	0.8928354959077608	2.9333492849634415	2.772973134309602
