row_id	Combined.Q.value	Q.value.Significant.Count	Combined.P.value	P.value.Significant.Count	P.value.Significant..Up..Count	P.value.Significant..Down..Count	Mean.Statistic	RENCA.CTL.LAWSON..Gene..Statistic.Value	EMT6.CTL.LAWSON..Gene..Statistic.Value	B16.CTL.LAWSON..Gene..Statistic.Value	X4T1.CTL.LAWSON..Gene..Statistic.Value	CT26.CTL.LAWSON..Gene..Statistic.Value	MC38.CTL.LAWSON..Gene..Statistic.Value	B16.CTL.KEARNEY..Gene..Statistic.Value	MC38.CTL.KEARNEY..Gene..Statistic.Value	B16.CTL.PRFKO.KEARNEY..Gene..Statistic.Value	MDAMB231.CART.HER2.KEARNEY..Gene..Statistic.Value	MC38.NK.KEARNEY..Gene..Statistic.Value	MC38.CTL.PD1.KEARNEY..Gene..Statistic.Value	MC38.CTL.IgG.KEARNEY..Gene..Statistic.Value	MART1.CTL.LIBA.VRED..Gene..Statistic.Value	MART1.CTL.LIBB.VRED..Gene..Statistic.Value	K562.NK1_1.PECH..Gene..Statistic.Value	K562.NK2_5.PECH..Gene..Statistic.Value	RENCA.CTL.LAWSON..Gene...log.P.value.	EMT6.CTL.LAWSON..Gene...log.P.value.	B16.CTL.LAWSON..Gene...log.P.value.	X4T1.CTL.LAWSON..Gene...log.P.value.	CT26.CTL.LAWSON..Gene...log.P.value.	MC38.CTL.LAWSON..Gene...log.P.value.	B16.CTL.KEARNEY..Gene...log.P.value.	MC38.CTL.KEARNEY..Gene...log.P.value.	B16.CTL.PRFKO.KEARNEY..Gene...log.P.value.	MDAMB231.CART.HER2.KEARNEY..Gene...log.P.value.	MC38.NK.KEARNEY..Gene...log.P.value.	MC38.CTL.PD1.KEARNEY..Gene...log.P.value.	MC38.CTL.IgG.KEARNEY..Gene...log.P.value.	MART1.CTL.LIBA.VRED..Gene...log.P.value.	MART1.CTL.LIBB.VRED..Gene...log.P.value.	K562.NK1_1.PECH..Gene...log.P.value.	K562.NK2_5.PECH..Gene...log.P.value.
PRKCSH	0.987012576692664	2	2.76671512955557e-09	6	4	2	0.684198180179633	4.86	3.13	1.96	1.41	4.39	-0.53	-1.52743048808531	-0.606715099165684	-0.267323622822602	-2.66749951257978	-2.2490706738211	-0.0660977527330111	2.100760448475	3.0217	1.4234	-1.18991449684826	-1.56043973936549	5.81160293028674	2.71515961374546	1.27114707177193	0.973808792355025	4.74844096335363	0.716170907348712	0.869523590209719	0.0768346086336623	0.202577938589509	1.95547036425493	1.08306763596347	0.0204095215945821	0.666608178638381	2.30604453516374	0.836838625022982	0.164872442677719	2.72212632369888
SMG7	0.602469295296566	3	2.80136109965078e-14	8	4	4	0.293323245699085	4.35	4.17	-0.9	-2.01	-2.56	3.48	-1.68903877223289	3.28369427794279	-1.86039260623623	-0.898348093514753	2.09155881466919	1.36087878151635	2.44943130508938	-0.15197	-1.1204	-2.26992720774604	-2.73899132260336	4.75688182176309	4.33886006783687	0.45313879315529	1.048359426155	1.95130195795282	3.99903845286481	0.869523590209719	2.26756597512429	1.53568719121939	0.0718582547769728	0.662705644746399	0.355112761968405	0.854915942140483	0.251145532354061	3.0620460265328	1.23144327502507	4.76505988742217
PSME1	1	2	5.14306197153544e-05	4	4	0	1.69541687996446	4.15	1.73	-0.31	2.21	4.73	2.38	2.08054033525224	2.0970629861961	0.274370384219893	-1.00624028054287	1.21643305093957	2.04826541336683	0.655074172407777	1.1789	1.3263	2.00360863635427	2.05777226120196	4.38758699454058	1.11598396099433	0.0944259237841626	1.82297242324984	5.44135990171762	2.49308580383656	0.617056215227781	0.315775836293648	0.0892725763237164	0.0718582547769728	0.243088879735889	0.605897798844757	0.145606234452116	0.483636527038585	0.56802543629134	0.85089988666276	0.956255151308042
OTUD5	0.98138999611405	2	2.55848863013299e-09	7	4	3	0.243582340008301	-4.05	2.69	-3.71	3.33	4.17	-0.54	1.44100949624028	-0.974113877059309	-0.946840619403299	-0.186490663344713	1.73270564877783	2.1272176896281	-0.976210824903904	1.5245	1.0638	-0.933193635948246	-1.62148343384563	4.24481260086993	2.16391117812354	3.40012670801509	3.29709843675087	4.34368883825844	0.719424351258435	0.410492257661444	0.0768346086336623	0.761720109092311	0.3444125050064	0.352060415548761	0.637963461687562	0.17918511028136	2.42360105487576	0.694047055039493	0.0821596196793116	2.80818521294302
LENG8	0.999996044678046	1	0.424560246586121	5	4	1	0.294367602405102	3.9	1.98	0.96	-1.49	-0.18	1.75	NA	NA	NA	-2.26027804033808	NA	NA	NA	-0.40717	0.70168	-0.643252919805435	0.693270201030247	3.91866156822688	1.35959937529044	0.451162066750112	0.777608141323182	0.0192134996052968	1.8275077043146	NA	NA	NA	1.40148618323503	NA	NA	NA	0.37185638787105	0.424258090168054	0.0821596196793116	1.61036275318574
RBM15	0.624867088476561	4	7.61681126502663e-13	6	4	2	1.03763503370191	3.63	4.19	1.06	-0.07	10	4.74	-1.52743048808531	-1.826985164615	-1.5813238896255	1.27214951821107	0.498488177576786	0.765052975381992	-2.63061710675012	0.15689	-0.3476	1.05812161768478	-1.74695006684627	3.44589722257458	4.37032856621433	0.516683856767357	0.116776540547245	22.803500338385	6.41853974733779	0.869523590209719	0.807001179237284	1.2162279012926	0.3444125050064	0.0556340579366534	0.21342750457902	1.62350536146717	0.17562681239472	0.39223411177372	0.333430434524753	2.99685251269584
DPF2	0.999988687279599	1	0.000948466754571582	5	4	1	0.35836525937392	3.55	-0.41	3.31	1.76	-0.71	-1.86	0.832653813174086	-0.386913832962152	0.134660885853711	0.0116811534019648	0.737826315179069	2.06827682183641	-2.19351909999436	-1.0729	1.0563	-0.752351009068916	0.0164943619368316	3.33141092977677	0.219993005566382	3.15361411180451	1.32188307282669	0.318405725693771	1.09861680629821	0.0738858229874798	0.0768346086336623	0.0892725763237164	0.3444125050064	0.0812394394481332	0.605897798844757	1.12294462002789	1.56242382398591	1.23485320989197	0.0821596196793116	2.16889796630651
RCE1	0.998962140115923	3	3.66894543701623e-05	5	4	1	0.97031115680631	3.41	3.34	-0.85	-0.52	4.86	2.64	-0.0724045046673558	1.80462106142962	-0.108297128936312	0.562229007833295	2.13464522922359	-0.714043955000183	-1.0826585693921	0.39171	0.69184	1.48288864050013	-1.47524011528341	3.11370924492021	3.01341816593247	0.416794322627326	0.285700421007345	5.7402255581922	2.80112431119443	0.0738858229874798	0.315775836293648	0.0892725763237164	0.3444125050064	0.6758227725071	0.0742363458496164	0.201498689183179	0.224935948981506	1.0980243209355	0.528170870466617	2.60785939728473
FIBP	0.999987559723892	1	0.000528178764207868	7	4	3	0.151092842786588	3.41	2.97	2.22	-0.21	3.04	-2.16	-0.325397826883962	-2.93443085206135	1.17363813401084	-0.53411785107799	-2.30683536327192	0.0469413147009882	-0.0584879004985891	-0.04932	0.78403	-0.921633075230974	-1.57580825231505	3.11064160690883	2.49880866723493	1.5403411995714	0.170730096186222	2.49892272899255	1.00079863422186	0.0738858229874798	2.00891950986851	0.413775438647007	0.0718582547769728	1.46374536165189	0.0434186664655286	0.066331134583676	0.0568568210228015	1.01412464269161	0.0821596196793116	2.74353462178999
NDUFS1	1	1	0.0106210233898742	4	4	0	0.499387857462725	3.4	-0.57	2.07	-0.14	2.55	-1.56	-0.99474562113901	0.0224863504642798	0.353091293285087	-1.83548405167507	-1.10948734673966	0.646585878346551	2.52213781341274	-0.33708	1.0113	-0.318428397942614	2.77921765885402	3.09333493739007	0.272387761323306	1.39652441218139	0.136860460296582	1.89067934836343	1.09861680629821	0.0738858229874798	0.0768346086336623	0.0892725763237164	0.990274065607259	0.483557925667491	0.21342750457902	0.890743425592664	0.528576260014134	1.97798426018228	0.0140589282401503	0.748843815056815
