	P0 Centroid	P1 Centroid	P2 Centroid	P3 Centroid
RCC25-477	1.6592517601050818	1.7999901145227544	1.397377740546992	2.186328999709337
RCC25-79	1.3656606267219351	1.727887554919945	2.310086768424062	2.5998063348079095
RCC25-313	1.787748793312416	1.112718828059507	2.4697732723803694	1.442784593987048
RCC25-480	4.158669215624576	3.3967916155597355	3.390874310869641	2.116238082401292
RCC25-550	1.1196569983828941	0.6288242537363447	3.0858276863516183	1.9558261495198375
RCC25-378	3.3582379565029563	3.8040719512368892	1.4579163749702666	3.704010860921705
RCC25-90	3.3015597546297664	2.6435900039616214	2.725806096475869	1.484422253638428
RCC25-145	0.757255955887975	1.8995431233422428	2.761551154693821	3.117209792421281
RCC25-68	4.132852642481124	3.810202042833654	2.7911201095149756	3.2120781734199486
RCC25-151	2.4215940438448333	2.434759921424258	2.6890849340816385	2.60131623346274
RCC25-346	2.765120486475928	1.6431187722474796	3.6653443867321336	1.730197426155155
RCC25-496	1.3194728871936003	0.8578767852530317	2.3650948090039825	1.7379199477478595
RCC25-207	0.6824541192700092	1.1313932602010277	2.4124619466726984	2.3236867577807434
RCC25-849	1.2773279061811151	0.8718635595947246	2.2365879897907277	1.5334791994651908
RCC25-907	2.931289958478	3.229796726309028	2.4204232718871332	3.1249443203466623
RCC25-644	1.6350609294102165	2.4386071966014224	3.7689048723510106	3.773302218883248
RCC25-732	1.9003752136555894	1.1509397146614986	2.3691035234017166	0.9210428113194242
RCC25-753	3.3185169664410576	2.677897091406604	2.6007507151320324	1.6117474744044022
RCC25-805	2.0089951134434725	1.006105951694442	2.698069301171151	1.1219681728618849
RCC25-693	3.4927277720200016	3.029418446623586	2.100256709144894	2.2184834983221426
RCC25-10	2.993084194488067	3.2213509116818626	5.310616282787942	4.3983641014305785
RCC25-650	3.785867029213302	2.7988020330494416	3.644565583435333	2.069749481678822
RCC25-756	4.049328686844102	3.0672293997459654	3.794967595918116	2.113372125842322
RCC25-730	2.239015043795477	1.8937739358288257	1.5863014549609669	1.5727368690978938
RCC25-909	1.058198451853612	1.6850187938062617	2.464271023604501	2.5849488826776987
RCC25-671	1.4095863854242825	1.4856664549729153	1.7126907130764417	1.9014979701711343
RCC25-892	4.88161895107018	3.96361832852054	4.051904708487535	2.591339568075966
RCC25-914	1.534631054800794	1.1034542331749493	2.044077601583755	1.4137806857672377
RCC25-799	4.002431567973348	2.79767701428806	5.435174134565304	2.7362138538474037
RCC25-648	2.0840297186962946	1.9688813100611824	2.6086216241604685	2.447932968552388
RCC25-669	3.4094976018019567	2.339834286955428	3.8069925626462955	1.1163859288778444
RCC25-787	3.339188403968164	3.0586346249813845	1.6731497229603074	2.3795979009513197
RCC25-897	1.4282448418510727	1.6924841197646807	2.5898110250001225	2.4374875362003645
RCC25-1073	2.62682790834827	2.4709369512483637	2.486246203789295	2.1772499034471307
RCC25-782	1.4612486294551008	1.0337863098345264	1.9567371182429323	1.3294244292689668
RCC25-898	4.166909413333195	3.472246993632177	3.6389360742690497	2.5715164245875775
RCC25-1065	2.2544995490081314	2.042738160631766	1.2759412639896446	1.8353322455193284
RCC25-866	2.2564572349058643	3.2365185609034035	1.583637532287583	3.8336445882291352
RCC25-919	0.881290264360088	1.3302392770599973	1.8908798683347048	2.120490634737732
RCC25-659	2.38496960471174	1.9005262742591023	2.1137787818926803	1.840786308244994
RCC25-975	2.6983160449389803	3.252460367713104	2.1816425067133802	3.9070655926142406
RCC25-879	0.9438626196390842	1.5962276173254124	2.982293910347227	2.8327561984761687
RCC25-872	2.2803317843321795	2.4823334206947942	2.529354701700788	2.578523697713427
RCC25-932	2.2523385492901675	3.034598054364686	1.3122658504886269	3.4404192221128707
RCC25-649	1.3312398602950688	0.630150049565203	2.3527053231417114	1.4220972561851255
RCC25-1070	1.4009007444976183	0.9268680575563922	2.0769906595043923	1.4627023787038231
RCC25-904	0.7011809599151814	1.3942606288190726	2.779501937308081	2.596903875359119
RCC25-794	1.5124789682631106	1.3539144124333509	1.8614115991768154	1.918209191774547
RCC25-1037	1.779710596408997	1.8736398663830947	1.5154608029152377	1.9321600107966213
RCC25-656	1.322033275420258	2.0062226739853903	2.027873659750125	2.682604895501648
RCC25-1052	2.009619969016612	1.8063370202885158	2.34850220405945	1.8715902740770594
RCC25-773	3.432831975645146	2.9072274681207952	2.5347494049175294	1.8654286363477708
RCC25-927	3.3767156227178035	2.9360935811681843	2.825031599394034	2.2568268362322272
RCC25-690	1.8865663248185958	1.352845785128582	2.1422278519948823	1.6320567963875758
RCC25-679	1.7439841961981457	1.9725005496924535	2.17725382856238	2.26208380421198
RCC25-915	4.401379347091101	3.3459524817859516	4.070668736748294	1.8861875246531965
RCC25-1069	1.355799403786102	1.270811550192004	2.369432716062007	1.8029999076200367
RCC_102	3.8358236959216967	3.5858145486388273	2.230245037441567	2.7347440258505293
RCC_105	2.519840528035773	2.1343012155349403	1.7790935442173037	1.4606620348787838
RCC_106	1.345147581013177	0.4168105465432951	3.0779227345306426	1.7148276157981297
RCC_115	2.2739164024011482	1.6300507551115235	2.7485441742528463	1.380642564837341
RCC_117	3.1335339688899637	2.756013344023339	1.9021107488833278	2.0856118557558627
RCC_14	1.2771443739669868	1.8459784178815428	2.805356210965272	2.9727106776839287
RCC_18	0.9325081225124116	1.6137176783312608	2.912344868200686	2.836946541109195
RCC_21	2.0566975187243592	1.307573782828264	3.128635139188108	1.7916934681978776
RCC_27	2.224109832603947	1.8835398754956973	2.1906159539228804	2.1207449880010025
RCC_41	1.0517879203267861	0.5765236384007345	3.01939840987723	2.0757995256841806
RCC_50	2.2940068184617313	1.5638058966692914	2.1448002460153544	1.005368721078493
RCC_73	1.1387419177352807	1.9138089489187484	2.3795784492481036	3.0091964862446647
RCC_90	1.8419953135518428	2.371035651644917	0.952477847312586	2.825480522067089
RCC_93	0.5747025275548193	1.0745942779624356	2.910576587440733	2.498910285041895
RCC_96	3.1469791978085424	2.1164333667207655	3.906521252269263	1.778469946423334
RCC_99	1.314389104850546	1.480859948543012	3.370108721147193	2.637447089320964
