row_id	C0	C1	C2	C3	C4	C5	C6	C7	C8	C9
ERP44	0.42347086189539734	6.1355919507702315e-18	0.6128775520915914	0.6693217454164399	0.18994235395031533	0.7918148754071602	0.035327485204298625	0.6954679998617693	0.02094565997732866	1.6945487232798444
FAS	0.31408383386654065	1.6960059685777598	1.023496378451101	0.6841831141320289	0.3172432716506614	0.813487759070929	3.7240984200542596e-20	0.9600304289694538	0.053027469154649946	0.87227632854536
ICAM1	0.9218012142565625	0.5964797849112203	0.1757645346406625	0.7318870356983334	0.6887976997260333	0.9716155251226422	1.0349380836759563	1.103061205309837	0.16567482446676685	0.08256704924990362
UBE2G2	0.374438697001364	0.33084670122281246	0.3774660707544771	0.11376418306228282	0.6594190095422315	0.13464603074058254	0.39034917125201685	1.319053610326274e-09	0.7277372679179674	1.789581335132444
KDELR2	3.7899932827993845e-07	0.3293059723836977	0.3348379590158234	0.03970869488178071	9.866769055660249e-20	0.35472165924895904	0.014833279262078277	0.9177141295392623	0.8056367834374206	0.40918157219933937
KAT7	5.942079662743717e-20	1.3177234815447874	0.3978650047830834	0.15343288093821497	0.08353498367683847	0.7412907714437392	0.6894690674791742	1.2221387213164296	4.6003106603850033e-17	0.02681133554885994
SEL1L	9.802640609467416e-19	0.5291714373242759	0.7908615039288215	0.41591890063163917	0.9315571947169767	0.42933890017286774	0.5868982255600164	0.990650997762045	0.06221977966277836	0.659219917601763
ELOF1	0.2604197187753193	0.5914095777426773	8.780660164380712e-20	0.1514087688070686	0.9470798221316248	0.13927649385307053	0.22668669380956885	0.5664381720637478	0.40410705217109794	1.0435211680559662
AP2M1	0.2641057117918185	0.9796058522510684	0.013181839463750917	0.9340250172426353	1.151030693302628	0.8961708677375306	0.2526337937402544	0.8219444229612121	9.181886187764371e-12	0.478445618902564
NDUFV1	1.01281967460467	1.2198771304623108e-19	0.1295243943390153	0.45449616014515787	0.9643605372819268	0.8402495073578969	0.48159275204871416	0.7056240636413846	0.9398412258289632	5.600417073788072e-15
PRKCSH	0.5963244989643959	1.764770531671251e-19	7.930097607103476e-19	0.6434704532796924	6.592197578962841e-07	0.20371655336291253	1.5094501935768838	0.09593714761905558	0.44845771626534353	1.3507016031348844
SMG7	6.369362305280724e-20	0.3428178161976958	0.2984387461316779	0.854341875511045	0.19747819140001316	0.021708764728031675	0.034347080422071505	1.4362200792015545e-18	2.236926818396981	9.826220905975234e-20
PSME1	0.5003068488939776	0.6504822885900391	0.45286059956751307	0.6602274495128257	0.27332776159574834	0.8580918632979437	0.8574262318734519	1.03828330233143	0.913608341389946	0.6996471060321054
OTUD5	4.417234706546275e-20	1.3574792828102336	0.14294973490448373	0.6976100384680113	0.7890613666814624	0.11533090345582898	0.25729810841372125	0.6126372941166522	1.679355365898905e-19	1.00566997310002
LENG8	0.743936774846753	8.100372350195937e-20	0.14783608795073713	0.492494558890285	0.017756019281704526	0.4481041956306634	0.7386211084264476	0.6038108061603072	1.2519723209389608	1.0064890177999554e-19
RBM15	8.1858733017394e-20	0.7140375784588925	1.3124016879559839	0.33083339517994625	0.5269016701925974	0.2820906242245121	0.015952703292706632	0.09240394931350339	0.004686639536527606	1.5250165660278059
DPF2	0.9854973197584509	0.3973798306273713	1.2932466766528548e-15	0.3511604285250171	0.7445414646890881	0.24431628962236082	0.4093548250239381	1.2481487808959746	0.20542875897414262	1.1670040033519125e-19
RCE1	0.27666476355552083	0.7814846598033428	0.2801527621300279	0.15206443872865555	0.8408577108297705	0.3864765126279652	0.22812201058675657	0.5331534909348856	1.2605406161511121	0.7838151241612189
FIBP	1.1822059609549178	0.09947177170838559	0.006400019614782271	0.5499465427524151	0.3865517370198701	0.2056464231937782	0.701663623482629	0.329492901730299	1.059108049899607e-19	0.9538551431053299
NDUFS1	1.093451433542495	8.325744268483022e-20	3.556808144093706e-20	0.7203140273449415	0.18359765850998877	0.6837033091092515	0.853631162979629	0.38278391809532136	0.49558755219262846	0.3617603113603146
CYB5R4	0.4730921151731168	0.5733294241555646	0.397563979212396	1.22736204274301	0.6861173103593929	0.47194124082252903	7.696599786973027e-14	0.586479003147071	0.522521546193903	0.46777207147650235
ANKS3	0.576243925929581	0.23253253675962507	0.52744557936783	0.0489511482599124	0.2972712021372855	0.5028893553255354	2.8238667652005754e-20	0.6084221501231872	0.5096978413758314	0.33984874276756255
PET100	0.22685627746872877	0.8358931204034604	0.4774635539628215	0.04542884598360824	0.4498256639180929	0.41598207334713194	0.4369364685977751	0.8843828879280454	0.530600654000634	0.2698169792170814
ATXN7L3	0.39390580061016145	0.4705098464557841	3.922806871498794e-18	0.7616293535768095	0.5092512411130757	1.3391544430614241e-20	0.7453493718971501	0.06140133726821636	1.1885216950443547	1.3104366712298754
CARD10	0.19175685038956525	1.3711958058357199	0.6634810446066071	0.7782206194040028	3.737675495182438e-20	0.1272522659196783	0.09798776580373268	0.839851747012292	0.18689565375886613	0.4028763603685823
PSME2	0.5138781102313835	0.8211000891654732	0.6786162104624448	0.7496731029223737	0.8015449008028387	0.1510137316557558	0.10919112779509105	0.5113717321480206	0.43742480143814283	0.8105464570647631
PKNOX1	0.7354791242691298	0.25066740686058625	0.06865175964212376	0.5769748013831356	0.17908699197277475	0.84055660464144	1.5012247007202833e-18	0.4074635714918661	1.1069199679773318	0.8187810625943156
PTEN	0.9616248873286403	0.4074356031828352	0.3843806291276569	0.547080059605628	0.6368226944879776	0.22363616470384146	0.661901164998789	0.7196511133294657	0.8524734775365487	0.004442853572796827
